ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. BONY Clément (LFI);M. MILLOT Georges (LO);M. GRÉGOIRE Emmanuel   (PS);Mme MAGNAN Annick  (RN);Mme MAZETIER Sandrine (LREM Buzyn);Mme MONTANDON Valérie  (LR);M. REBOURG Patrick (LREM Villani);Mme ELBAZ Caroline  (Marcel Campion);Mme PIERRE-MARIE Emmanuelle  (Les écologiste);geo_shape;geo_point_2d;st_area(shape);st_perimeter(shape);Taux abstention;Taux d'abstention en %
21;Municipales;2020;1;15/03/20;8;46;12;21;19;1607;668;668;2;9;657;26;5;222;11;114;149;58;3;69;"{""coordinates"":[[[2.396700914268182,48.83958262698226],[2.396686566308585,48.839195930994755],[2.399414832764225,48.83821054065557],[2.399425739451224,48.838188164434094],[2.399216021059008,48.838076480802016],[2.3991815934847205,48.8380942159772],[2.3988311164834193,48.83797986575628],[2.3977097716760163,48.837321090850914],[2.3963982726268465,48.838523359574644],[2.3961803530114625,48.8388020421686],[2.394253157518762,48.83789616867057],[2.3936204567599986,48.83802232097473],[2.3931432821461494,48.838541231690336],[2.394272689456125,48.83932705790896],[2.3957559813091436,48.83957920031195],[2.396700914268182,48.83958262698226]]],""type"":""Polygon""}";48.83858936915114, 2.396117921592672;50026,21559;1227,250574;58;58 %
22;Municipales;2020;1;15/03/20;8;46;12;22;15;1519;562;562;5;10;547;55;3;190;5;57;134;34;7;62;"{""coordinates"":[[[2.3977097716760163,48.837321090850914],[2.398375236906213,48.83677384176021],[2.398432189334853,48.836709172604614],[2.3971872320582905,48.835702747908634],[2.3949863373967917,48.836323577384874],[2.394705954182079,48.83625596119067],[2.394669453406867,48.83624735663219],[2.3917688531003045,48.83697024646446],[2.3915687237745002,48.836869675415464],[2.391232447568782,48.83728782234737],[2.3912613172083828,48.83732970781862],[2.3932841204997186,48.83690091409154],[2.394253157518762,48.83789616867057],[2.3961803530114625,48.8388020421686],[2.3963982726268465,48.838523359574644],[2.3977097716760163,48.837321090850914]]],""type"":""Polygon""}";48.83710658623859, 2.395663031522969;76134,13529;1395,820266;63;63 %
23;Municipales;2020;1;15/03/20;8;46;12;23;20;1394;539;539;1;8;530;25;6;158;1;99;143;35;4;59;"{""coordinates"":[[[2.4021979731596845,48.83719056656636],[2.4021739494214134,48.83716267239238],[2.402110984809397,48.83682563546269],[2.4004068929436135,48.835028284947064],[2.399674035047871,48.83583355089188],[2.3996709582890072,48.835853585862885],[2.399992655262518,48.836050143353404],[2.4001749751382127,48.83626942769301],[2.3984138647439446,48.83758638987623],[2.3984238574175847,48.83760675762655],[2.399216021059008,48.838076480802016],[2.399425739451224,48.838188164434094],[2.399414832764225,48.83821054065557],[2.4021496568535774,48.837231626502806],[2.4021979731596845,48.83719056656636]]],""type"":""Polygon""}";48.83685667733682, 2.4004125640851806;44840,75941;976,1755063;61;61 %
24;Municipales;2020;1;15/03/20;8;46;12;24;19;1435;609;609;2;11;596;38;4;203;1;98;105;46;5;96;"{""coordinates"":[[[2.399216021059008,48.838076480802016],[2.3984238574175847,48.83760675762655],[2.3984138647439446,48.83758638987623],[2.4001749751382127,48.83626942769301],[2.399992655262518,48.836050143353404],[2.3996709582890072,48.835853585862885],[2.399674035047871,48.83583355089188],[2.4004068929436135,48.835028284947064],[2.4007766367016696,48.83466216473345],[2.39868189726077,48.83519767155624],[2.394716916112791,48.83623483304836],[2.394705954182079,48.83625596119067],[2.3949863373967917,48.836323577384874],[2.3971872320582905,48.835702747908634],[2.398432189334853,48.836709172604614],[2.398375236906213,48.83677384176021],[2.3977097716760163,48.837321090850914],[2.3988311164834193,48.83797986575628],[2.3991815934847205,48.8380942159772],[2.399216021059008,48.838076480802016]]],""type"":""Polygon""}";48.83608737494334, 2.3986814496892146;40228,80311;1542,418023;58;58 %
25;Municipales;2020;1;15/03/20;8;46;12;25;12;1541;621;621;3;16;602;20;2;194;2;91;169;41;6;77;"{""coordinates"":[[[2.402929158647542,48.836217694183546],[2.403030107666832,48.83609017910421],[2.4044400475769816,48.83425478895695],[2.404424070597913,48.83422147428598],[2.4036096507834506,48.83392223121282],[2.4022694581562374,48.83343908362954],[2.4021922541863487,48.83341116730657],[2.4020244993482494,48.833560595589674],[2.4017080339104933,48.83414891643995],[2.4016654011631164,48.83416254440402],[2.4012641672148964,48.83415954098112],[2.4007766367016696,48.83466216473345],[2.4004068929436135,48.835028284947064],[2.402110984809397,48.83682563546269],[2.4021739494214134,48.83716267239238],[2.4021979731596845,48.83719056656636],[2.4022265014875317,48.83711732746498],[2.402929158647542,48.836217694183546]]],""type"":""Polygon""}";48.835028057813666, 2.402378213699516;59922,74912;1072,056941;60;60 %
26;Municipales;2020;1;15/03/20;8;46;12;26;24;1370;616;617;2;12;603;18;3;157;5;118;170;42;7;83;"{""coordinates"":[[[2.4007766367016696,48.83466216473345],[2.4012641672148964,48.83415954098112],[2.4016654011631164,48.83416254440402],[2.4017080339104933,48.83414891643995],[2.4020244993482494,48.833560595589674],[2.400325173060084,48.8334559995141],[2.3990201513601925,48.833221902650045],[2.3977766836149974,48.83415072932975],[2.3976410380140276,48.83425910239921],[2.3976467823938985,48.8342919302734],[2.39868189726077,48.83519767155624],[2.4007766367016696,48.83466216473345]]],""type"":""Polygon""}";48.83414186144502, 2.3996700469230405;40864,40489;841,4568458;55;55 %
27;Municipales;2020;1;15/03/20;8;46;12;27;15;1386;679;679;4;9;666;54;7;211;9;91;145;46;8;95;"{""coordinates"":[[[2.394669453406867,48.83624735663219],[2.394705954182079,48.83625596119067],[2.394716916112791,48.83623483304836],[2.39868189726077,48.83519767155624],[2.3976467823938985,48.8342919302734],[2.3976410380140276,48.83425910239921],[2.3977766836149974,48.83415072932975],[2.3975001278790917,48.8339676602807],[2.3967199316041343,48.83400946848102],[2.3967623205120634,48.834617046029486],[2.3961737691052427,48.83487093397883],[2.393037615663923,48.83644600204285],[2.392169668684896,48.83607840627257],[2.3915687237745002,48.836869675415464],[2.3917688531003045,48.83697024646446],[2.394669453406867,48.83624735663219]]],""type"":""Polygon""}";48.835475464568844, 2.3957375654726363;42727,48724;1378,704644;51;51 %
28;Municipales;2020;1;15/03/20;8;46;12;28;12;1401;571;571;2;10;559;35;7;157;3;87;151;30;8;81;"{""coordinates"":[[[2.3967199316041343,48.83400946848102],[2.3966765116151545,48.83346116528249],[2.3965435238086013,48.833384863114276],[2.395741423890914,48.83402204510804],[2.3957056187476895,48.834029000680104],[2.3948922633322764,48.83360044375821],[2.394184367980504,48.834059871794224],[2.3938914680188605,48.83431099177763],[2.392763954635167,48.835300277329154],[2.392169668684896,48.83607840627257],[2.393037615663923,48.83644600204285],[2.3961737691052427,48.83487093397883],[2.3967623205120634,48.834617046029486],[2.3967199316041343,48.83400946848102]]],""type"":""Polygon""}";48.83490602103089, 2.394560289180212;50757,95445;1072,087281;59;59 %
29;Municipales;2020;1;15/03/20;8;46;12;29;9;1372;536;536;4;10;522;13;1;126;8;104;159;41;6;64;"{""coordinates"":[[[2.3990201513601925,48.833221902650045],[2.400325173060084,48.8334559995141],[2.4020244993482494,48.833560595589674],[2.4021922541863487,48.83341116730657],[2.4022694581562374,48.83343908362954],[2.4022637604062393,48.83339125118745],[2.403087901756475,48.83281158164059],[2.4034837597163876,48.832574065358884],[2.403724764318183,48.83246752216209],[2.404177915903683,48.83235455637084],[2.4055777138756813,48.832250989367616],[2.4060955334209675,48.83219259375262],[2.407110612969917,48.83195211649427],[2.407052575978457,48.83186622711042],[2.402412746084775,48.82966111696921],[2.401464291547587,48.82938697095344],[2.4014006625760453,48.82942754409326],[2.3948922633322764,48.83360044375821],[2.3957056187476895,48.834029000680104],[2.395741423890914,48.83402204510804],[2.3965435238086013,48.833384863114276],[2.3966765116151545,48.83346116528249],[2.3967199316041343,48.83400946848102],[2.3975001278790917,48.8339676602807],[2.3977766836149974,48.83415072932975],[2.3990201513601925,48.833221902650045]]],""type"":""Polygon""}";48.83191258881068, 2.400979197322339;208814,274;2310,600829;61;61 %
30;Municipales;2020;1;15/03/20;8;45;12;30;21;1385;644;644;6;8;630;22;2;203;5;112;178;43;1;64;"{""coordinates"":[[[2.403465589257076,48.847705387756434],[2.4031584246021027,48.84575267010195],[2.4025977043292754,48.84511472760332],[2.402332964672632,48.84510553685254],[2.3989998593529753,48.84736902223705],[2.3989859388781682,48.84740559020778],[2.3990481171665268,48.84765182287996],[2.399130957470874,48.84809056071216],[2.403465589257076,48.847705387756434]]],""type"":""Polygon""}";48.846862823878155, 2.401519798329652;65249,76876;1072,815414;54;54 %
